✔️,Task,Class,Type,Due Date,Instructions
Yes,Add prof on FB,Math 10,Misc Task,"March 1, 2021",
Yes,Like FB pages,Math 10,Misc Task,"March 3, 2021","Math one Roque, Sciencia na Kayo"
Yes,Module 1: Aural Analysis,MuL 13,Asynchronous Module,"March 4, 2021",Answer the GForm
Yes,Essay about my opinions on Math,Math 10,Paper,"March 4, 2021","1-page essay, any font, single space"
Yes,Find clips where vocab words are used,Hapon 11,Homework,"March 5, 2021",look for 5 clips/words where it's used and post on the discord channel
Yes,Wait for MS 1 materials,MS 1,Misc Task,"March 5, 2021",
Yes,UT/NT Reflection for Module 1,MuL 13,Forum,"March 6, 2021",
Yes,Join the Class Forum,Geog 1,Misc Task,"March 6, 2021","https://geog1aeq.createaforum.com/general-discussion  "
Yes,Finish Part 6 & 7 of Chapter 4 Exercises,Hapon 11,Writing Activity,"March 24, 2021",
Yes,Make notes for Population Geog,Geog 1,Notes,"March 24, 2021",
Yes,Module 5,MuL 13,Asynchronous Lecture,"March 25, 2021",
No,Shoot footage for intro,MuL 13,Homework,"March 26, 2021",
No,Intro Video,MuL 13,Homework,"March 29, 2021",
Yes,Watch vids on sets and numbers,Math 10,Asynchronous Lecture,,
Yes,Add,MS 1,,,
No,Fix Chapter 4 Quizlets,Hapon 11,Practice Material,,
No,Change week 1 to notion,MS 1,Essay,,
Yes,Add,Math 10,,,
No,Notes on topic 4,Math 10,Asynchronous Lecture,,
Yes,Week 2 output,MS 1,Essay,,
Yes,Add,Hapon 11,,,
Yes,Add,MuL 13,,,
Yes,Add,Geog 1,,,
Yes,Add,Eng 11,,,
No,Week 3 output,MS 1,Essay,,
No,Week 3 plp,MS 1,Essay,,
No,Notes on Omelas,Eng 11,Notes,,
No,Finish Geog Activities 1-4,Geog 1,Essay,,
No,Find Fallacies that are in the news/advertising,Math 10,Groupwork,,
No,Week 2 plp,MS 1,Essay,,
