✔️,Task,Class,Due Date,Type,Instructions
Yes,Add prof on FB,Math 10,"March 1, 2021",Misc Task,
Yes,Like FB pages,Math 10,"March 3, 2021",Misc Task,"Math one Roque, Sciencia na Kayo"
Yes,Module 1: Aural Analysis,MuL 13,"March 4, 2021",Asynchronous Module,Answer the GForm
Yes,Essay about my opinions on Math,Math 10,"March 4, 2021",Paper,"1-page essay, any font, single space"
Yes,Find clips where vocab words are used,Hapon 11,"March 5, 2021",Homework,look for 5 clips/words where it's used and post on the discord channel
Yes,Wait for MS 1 materials,MS 1,"March 5, 2021",Misc Task,
Yes,UT/NT Reflection for Module 1,MuL 13,"March 6, 2021",Forum,
Yes,Join the Class Forum,Geog 1,"March 6, 2021",Misc Task,"https://geog1aeq.createaforum.com/general-discussion  "
Yes,Finish Part 6 & 7 of Chapter 4 Exercises,Hapon 11,"March 24, 2021",Writing Activity,
Yes,Make notes for Population Geog,Geog 1,"March 24, 2021",Notes,
Yes,Module 5,MuL 13,"March 25, 2021",Asynchronous Lecture,
No,Shoot footage for intro,MuL 13,"March 26, 2021",Homework,
No,Intro Video,MuL 13,"March 29, 2021",Homework,
Yes,Watch vids on sets and numbers,Math 10,,Asynchronous Lecture,
Yes,Add,MS 1,,,
No,Fix Chapter 4 Quizlets,Hapon 11,,Practice Material,
No,Change week 1 to notion,MS 1,,Essay,
Yes,Add,Math 10,,,
No,Notes on topic 4,Math 10,,Asynchronous Lecture,
Yes,Week 2 output,MS 1,,Essay,
Yes,Add,Hapon 11,,,
Yes,Add,MuL 13,,,
Yes,Add,Geog 1,,,
Yes,Add,Eng 11,,,
No,Week 3 output,MS 1,,Essay,
No,Week 3 plp,MS 1,,Essay,
No,Notes on Omelas,Eng 11,,Notes,
No,Finish Geog Activities 1-4,Geog 1,,Essay,
No,Find Fallacies that are in the news/advertising,Math 10,,Groupwork,
No,Week 2 plp,MS 1,,Essay,
