Identificador,Nombre,Categoría,Última versión,Fecha de creación,Fecha de última modificación,Liga,Se utiliza?
P01,P01_Definición de la forma de trabajo (WoW),Procesos,,"March 7, 2022",,https://www.notion.so/e9e2dc1e90804a73aeafe7679c99f706,No
P02,P02_Proceso de evaluación y capacitación de integrantes,Procesos,,"March 7, 2022",,https://www.notion.so/c81870dcf9a6484d81e1fcad0ee767e6,No
P03,P03_Proceso de definición de stack tecnológico,Procesos,,"March 7, 2022",,https://www.notion.so/643c9ce7587e4ff1915cc9642affe9cf,No
P04,P04_Revision de pull request,Procesos,,"March 14, 2022",,https://www.notion.so/9d3b4ef1e74a4028b85cb2cf1c30b926,No
P05,P05_Proceso de aceptación de requisitos,Procesos,,"March 17, 2022",,https://www.notion.so/acadd69f0052485a846ecf4780813286,No
P06,P06_Proceso de cambio en requisitos,Procesos,,"March 17, 2022",,https://www.notion.so/0becb449a14d4804881a6e09f2217530,No
P07,P07_Proceso de priorización de requisito,Procesos,,"March 17, 2022",,https://www.notion.so/8279a54bc4344b85bb72894e4f178406,No
P08,P08_Proceso de registro asistencia a reuniones,Procesos,,"March 17, 2022",,https://www.notion.so/7d073fd5ae7b40beb465024fbe263d8b,No
P09,P09_Junta departamental,Procesos,,,,https://www.notion.so/359b02816577489d9b420769d4765972,No
P10,P10_Club de lectura,Procesos,,,,https://www.notion.so/3a924492a2864c55ae60d463788d245e,No
P11,P11_Daily Meetings,Procesos,,,,https://www.notion.so/94653bc268bc4025b1e9aaff84b6175d,No
P12,P12_Proceso de cambio de roles,Procesos,,,,https://www.notion.so/28f27b671826474184dbfd7db8a7015d,No
P13,P13_Aplicar encuesta de felicidad,Procesos,,,,https://www.notion.so/219dd1fc3140429fb23cbbae56f6ed9d,No
P14,P14_Implementación de requisito (Uso WBS),Procesos,,,,https://www.notion.so/a447a0788f87415abd4469638bc678fe,No
P15,P15_Reporte de estado,Procesos,,,,https://www.notion.so/e9549f04511143c5b3735cd790aa02f9,No
P16,P16_Proceso de retrospective,Procesos,,,,https://www.notion.so/9e356c5b62be47cb8cb563696a8e04da,No
P17,P17_Proceso de reunión de roles,Procesos,,,,https://www.notion.so/8fd4dd93f94a4cd0b64e813e9d4de41a,No
P18,P18_Creación de pull request,Procesos,,,,https://www.notion.so/b11c58cb1ce14b42950a56f0b4e618cf,No
P19,P19_Sprint Planning,Procesos,,,,https://www.notion.so/38496412c5c84378b582eb61bfc071ff,No
P20,P20_Toma de decisiones,Procesos,,,,https://www.notion.so/1c63004a533c4261979129dee36c2501,No
P21,"P21_Manejo de riesgos ",Procesos,,,,https://www.notion.so/349b15b299e846beb45066c69dddea68,No
PL09,PL09_Requerimientos,Plantillas,,"March 7, 2022",,https://www.notion.so/3c7ce01a54154f9196da0cf0ba23b88f,No
PL07,PL07_Plan de Comunicación,Plantillas,,"March 7, 2022",,https://www.notion.so/0a06bfc99c1548ff92046fb751e4bcdc,No
PL08,PL08_Sprint Retrospective,Plantillas,,"March 7, 2022",,https://www.notion.so/c2762413ae9a45308638bcc34ba1e5a7,No
PL06,PL06_Auditoria,Plantillas,,"March 7, 2022",,https://www.notion.so/d6711de344ae486cb1ffc68037d9ae81,No
