Identificador,Nombre,Categoría,Última versión,Liga,Fecha de creación,Fecha de última modificación,Se utiliza?
P01,P01_Definición de la forma de trabajo (WoW),Procesos,,https://berry-cymbal-363.notion.site/P01_Definici-n-de-la-forma-de-trabajo-WoW-e9e2dc1e90804a73aeafe7679c99f706,,,No
P02,P02_Proceso de evaluación y capacitación de integrantes,Procesos,,https://berry-cymbal-363.notion.site/P02_Proceso-de-evaluaci-n-y-capacitaci-n-de-integrantes-c81870dcf9a6484d81e1fcad0ee767e6,,,No
P03,P03_Proceso de definición de stack tecnológico,Procesos,,https://berry-cymbal-363.notion.site/P03_Proceso-de-definici-n-de-stack-tecnol-gico-643c9ce7587e4ff1915cc9642affe9cf,,,No
P04,P04_Revision de pull request,Procesos,,https://berry-cymbal-363.notion.site/P04_Revision-de-pull-request-9d3b4ef1e74a4028b85cb2cf1c30b926,,,No
P05,P05_Proceso de aceptación de requisitos,Procesos,,https://berry-cymbal-363.notion.site/P05_Proceso-de-aceptaci-n-de-requisitos-acadd69f0052485a846ecf4780813286,,,No
P06,P06_Proceso de cambio en requisitos,Procesos,,https://berry-cymbal-363.notion.site/P06_Proceso-de-cambio-en-requisitos-0becb449a14d4804881a6e09f2217530,,,No
P07,P07_Proceso de priorización de requisito,Procesos,,https://berry-cymbal-363.notion.site/P07_Proceso-de-priorizaci-n-de-requisito-8279a54bc4344b85bb72894e4f178406,,,No
P08,P08_Proceso de registro asistencia a reuniones,Procesos,,https://berry-cymbal-363.notion.site/P08_Proceso-de-registro-asistencia-a-reuniones-7d073fd5ae7b40beb465024fbe263d8b,,,No
P09,P09_Junta departamental,Procesos,,https://berry-cymbal-363.notion.site/P09_Junta-departamental-359b02816577489d9b420769d4765972,,,No
P10,P10_Club de lectura,Procesos,,https://berry-cymbal-363.notion.site/P10_Club-de-lectura-3a924492a2864c55ae60d463788d245e,,,No
P11,P11_Daily Meetings,Procesos,,https://berry-cymbal-363.notion.site/P11_Daily-Meetings-94653bc268bc4025b1e9aaff84b6175d,,,No
P12,P12_Proceso de cambio de roles,Procesos,,https://berry-cymbal-363.notion.site/P12_Proceso-de-cambio-de-roles-28f27b671826474184dbfd7db8a7015d,,,No
P13,P13_Aplicar encuesta de felicidad,Procesos,,https://berry-cymbal-363.notion.site/P13_Aplicar-encuesta-de-felicidad-219dd1fc3140429fb23cbbae56f6ed9d,,,No
P14,P14_Implementación de requisito (Uso WBS),Procesos,,https://berry-cymbal-363.notion.site/P14_Implementaci-n-de-requisito-Uso-WBS-a447a0788f87415abd4469638bc678fe,,,No
P15,P15_Reporte de estado,Procesos,,https://berry-cymbal-363.notion.site/P15_Reporte-de-estado-e9549f04511143c5b3735cd790aa02f9,,,No
