ID,Riesgo,Statu,Status,Fecha de definición,Consecuencias,Categoría,Prob,Impact,Magnitud,Interno,Plan de mitigación,Plan de respuesta,Responsable
10,El producto no se adapta a la forma de trabajo de los usuarios finales,Identificado,Sin identificar,03/05/2022,"Retrabajo

Poca satisfacción para el cliente",Proceso,0.8,10,8,No,Hacer pruebas con el usuario final en cada versión,Escuchar las inquietudes del usuario final y mejorar las más relevantes y viables,PO
1,Caída del internet en Aluminio Monarca,Identificado,Sin identificar,14/03/2022,"- El sistema no se puede utilizar
- No se puede hacer rastreo del inventario",Técnico,0.8,10,8,No,Pedirles que compren un modem con datos celulares,Prender el modelo alterno para que se conecte a los repetidores,PO
2,Hackeo a la base de datos/servidor,Atendido con Plan de Respuesta,Identificado,24/05/2022,Perder información de la base de datos,Seguridad,0.7,10,7,No,Configurar el servidor para permitir la conexión únicamente mediante SSH y al puerto de la base de datos mediante usuario y contraseña,Asesorarnos con un profesor y consultar la guía para la configuración que se tenga que volver a hacer,AO
11,Cambio en la solución a la necesidad del socio,Atendido con Plan de Respuesta,Identificado/ Sin datos,13/03/2022,"Incumplimiento de las fechas de entrega, posible apresuramiento del desarrollo, desperdico de trabajo",Proceso,0.2,9,1.8,Yes,Confirmar la solución propuesta tanto con el socio como con el cliente final,Reajustar requerimientos y elaborar un nuevo plan de trabajo,TL
5,Un problema que no se identificó cuando inició ha crecido,Atendido con Plan de Respuesta,Identificado,03/05/2022,"El problema se vuelve más difícil de resolver

Se intenta resolver cuando ya es muy complejo

Toma más tiempo y esfuerzo resolverlo",Proceso,0.2,8,1.6,Yes,Cuando una persona identifique un problema debe de anunciarlo a todo el equipo y asegurarse de que se resuelva lo antes posible,"Utilizar el proceso de toma de decisiones o resolución de conflictos para resolver el problema

Pedir ayuda a un asesor en caso de ser necesario",PO
13,Las métricas indican que la calidad del proyecto es baja,Identificado,Sin identificar,03/05/2022," Aumento de defectos

Retrabajo",Técnico,0.2,6,1.2,No,Identificar las fases en las que se inyectan más defectos y las acciones que llevan a ello para evitarlas o mitigarlas con nuevas acciones,"Mejorar los componentes que tengan menor calidad y sean de mayor importancia ",PO
14,Un integrante del equipo no está involucrados en el proyecto,Atendido con Plan de Respuesta,Identificado,03/05/2022,"Atraso en el plan del proyecto

Disminución de la confianza en el equipo",Organizacional,0.2,6,1.2,Yes,"Realizar actividades de integración para conocer a los integrantes del equipo

Tener juntas uno a uno para escuchar las necesidades de cada persona","Preguntar al integrante si tiene algún bloqueo o problemática

Resolver las inquietudes de la persona

Hacer un plan para reintegrar a la persona al equipo",TL
4,Defecto que llega a producción.,Atendido con Plan de Mitigación,Identificado,10/03/2022,"- Presentar problemas e incidencias del lado del cliente.
- Se perjudica la operación del negocio.
- Se afecta la experiencia de usuario para el cliente.",Técnico,0.1,10,1,Yes,"- Pruebas unitarias previas a cada integración de código.
- Revisión del listado de funcionalidad previo al despliegue.
- Validación de un tercero en ambiente de pruebas.
- Realizar un backup de la BD antes del despliegue.","- Dependiendo del defecto, priorizar la fecha de corrección.
- Considerar un rollback del despliegue dependiendo del defecto.
- Restaurar la BD.",AO
7,Falta de involucramiento de PO de negocio.,Identificado,Identificado / Sin datos,10/03/2022,"- Retraso en el plan.
- Incumplimiento en los tiempos de inicio.
- Baja prioridad hacia el equipo.
- Incongruencia en visión y objetivos entre el equipo y el PO.",Organizacional,0.1,10,1,No,"- Agendar juntas semanales para garantizar involucramiento del PO y dar a conocer las implicaciones de cambios a requisitos.
- Junta para revisión de objetivos antes de iniciar el proyecto.
- Revisión de requisitos implementados para ver posibles cambios.","- Informar a los involucrados en la matriz RACI.
- Solicitar apoyo a los PMs.
- Repriorizar de acuerdo a lo más crítico y a la magnitud del cambio.",PO
18,Fallo masivo en las telecomunicaciones,Identificado,Sin identificar,10/03/2022,Incapacidad de comunicación entre los miembros y pérdida de datos,Organizacional,0.1,8,0.8,No,Hacer copias de seguridad de todos nuestros archivos y guardarlos en un disco duro o USB,Establecer un plan de comunicación que no dependa de herramientas tecnológicas,Equipo
16,Nuevo miembro del equipo no comprende el proyecto,Atendido con Plan de Mitigación,Identificado,10/03/2022,"- Posible sobreestimación de la iteración.
- Cambio en el plan debido a capacitación del integrante.
- Cambio en capacidad del equipo.",Organizacional,0.4,2,0.8,Yes,"- Preparar la documentación necesaria para la capacitación de cualquier miembro al proyecto
- Definición de persona encargada para el acompañamiento del nuevo miembro","- Capacitar al nuevo miembro en el proyecto
- Facilitarle la documentación necesaria para su capacitación",TL
15,Salida de uno o más miembros del equipo.,Atendido con Plan de Respuesta,Identificado,10/03/2022,"- Baja la velocidad del equipo.
- No se entregan iteraciones a tiempo.",Organizacional,0.4,2,0.8,Yes,"- Preparar los manuales para que su salida no afecte.

- Capacitación de ese integrante a uno nuevo que ocupe su rol.

- Aviso a stakeholders previo a la salida por un posible cambio en las fechas de entrega.",Apoyar todos en el área de desarrollo que se encuentre estancada,TL
12,Inicio de un conflicto interno,Atendido con Plan de Respuesta,Identificado,10/03/2022,"Disconformidad en alguna decisión, o acción dentro del equipo",Organizacional,0.1,6,0.6,Yes,Comunicar las disconformidades antes de realizar una decisión,"- Seguir el proceso con el que contamos
- Comunicarlo con el equipo
- Hablarlo con un tercero de requerirlo",Equipo
6,El socio no cuenta con la infraestructura para tener la solución al entregar el proyecto,Identificado,Sin identificar,26/05/2022,La solución no sería funcional en toda la fábrica,Técnico,0,6,0,No,"Mantener la comunicación ",Recordarle lo que pierde,PO
3,Atraso en el plan,Atendido con Plan de Respuesta,Identificado,03/05/2022,Proyecto entregado fuera de la fecha establecida y/o con poca calidad,Proceso,0,9,0,No,Realizar las estimaciones siendo realistas,"Adaptar el plan al tiempo que nos queda 

Identificar mejoras para la forma de trabajo",TL
9,Uso de herramientas desconocidas,Atendido con Plan de Respuesta,Identificado,10/03/2022,Retraso por curva de aprendizaje,Técnico,0,5,0,Yes,Estudiar y analizar las nuevas herramientas con anterioridad y previo a la etapa de desarrollo,Apoyo de los más experimentados para dar asesorías y seguimiento con los que tienen complicaciones,Equipo
8,Un miembro del equipo tiene impedimento para trabajar por algun imprevisto o enfermedad,Atendido con Plan de Respuesta,Identificado,10/03/2022,"- Reducción del equipo
- Rendimiento disminuido
- La carga de trabajo se deberá redistribuir",Organizacional,0,6,0,Yes,"- Definir qué integrante va a cubrir las actividades del ausente.
- Dar aviso sobre posible retraso en la entrega de la iteración y/o despliegue
- Planes de trabajo flexibles
- Documentación constante",Transferencia de un miembro al equipo de por parte de otros proyectos,TL
