Tags,Name,¿Cumple?
Valor,El producto de trabajo agrega valor a la forma de trabajo,No
,El producto de trabajo agrega valor a su audiencia,No
,El producto de trabajo está alineado a los valores del departamento,No
,El producto de trabajo no es redundante,No
,El producto de trabajo cumple con su objetivo,No
Definición,Las prácticas del CMMI definidas en el producto de trabajo son las correctas,No
Formato y gramática,La ortografía y redacción del producto de trabajo es correcta,No
,El producto de trabajo usa un lenguaje apropiado al público/audiencia del mismo,No
,El producto de trabajo es fácil de comprender,No
,"El producto de trabajo se creó con la plantilla que le corresponde (plantilla de proceso, estándar, etc.)",No
Gestión de la configuración,Los hipervínculos del producto de trabajo funcionan y redireccionan a los sitios web correctos,No
,El nombre e identificador del producto de trabajo es correcto,No
,El trabajo está versionado de manera correcta,No
,El producto de trabajo está registrado en la matriz de configuración,No
