Test Case ID,Historia de Usuario,Caso de prueba,Resultado Esperado,Status,Fecha de Ejecución,Encargado,Iteración,Evidencia
1,Iniciar sesión en el sistema,Al entrar a la aplicación,"Se muestran los campos de inicio de sesion (username o correo electronico), contraseña, hipervinculo de restablecer contraseña y un boton de iniciar sesión.",Aprobado,"May 16, 2022",Andrea Piñeiro,IT3,
2,Iniciar sesión en el sistema,"El usuario ingresa su username o correo y contraseña, llena la información correctamente y da clic en iniciar sesión.",Se muestra la pantalla principal del rol del usuario.,Aprobado,"May 16, 2022",Andrea Piñeiro,IT3,
3,Iniciar sesión en el sistema,"El usuario ingresa su username o correo y contraseña, llena incorrectamente su contraseña y da clic en iniciar sesión.",Se muestra un mensaje de que el usuario o contraseña incorrecto.,Aprobado,"May 16, 2022",Andrea Piñeiro,IT3,
4,Iniciar sesión en el sistema,Falta un campo o más por llenar para el inicio de sesión.,Se muestra un mensaje de error en la parte inferior indicando los campos requeridos,Aprobado,"May 16, 2022",Andrea Piñeiro,IT3,
5,Iniciar sesión en el sistema,El usuario ingresa su username o correo y contraseña correctamente pero ocurre un error al guardar.,Se muestra un mensaje de error.,Aprobado,"May 16, 2022",Andrea Piñeiro,IT3,
1,Consultar Estudio del Paciente,"El usuario se autentica con el rol de químico, da clic en el detalle del paciente y luego da clic en el icono del detalle del estudio del paciente.",Se muestra la información del detalle del estudio del paciente,,,Carolina Herrera Martínez,IT3,
2,Consultar Estudio del Paciente,"El usuario se autentica con el rol de químico, ya dentro del detalle del estudio del paciente da clic en el botón de editar estudio",Nos redirije a la vista de Editar estudio,,,Carolina Herrera Martínez,IT3,
3,Consultar Estudio del Paciente,"El usuario se autentica con el rol de químico, ya dentro del detalle del estudio del paciente da clic en el botón de eliminar estudio",Se muestra un mensaje de estudio eliminado y nos regresa a la vista anterior,,,Carolina Herrera Martínez,IT3,
4,Consultar Estudio del Paciente,"El usuario se autentica con el rol de doctor o nutrióloga, da clic en el detalle del paciente y luego da clic en el icono del resultado del estudio del paciente",Se muestra la información del resultado del estudio del paciente,,,Carolina Herrera Martínez,IT3,
5,Consultar Estudio del Paciente,"El usuario se autentica con el rol de doctor o nutriologa, ya dentro del detalle del estudio del paciente da clic en el botón de generar PDF",Se genera el PDF del resultado del estudio,,,Carolina Herrera Martínez,IT3,
6,Consultar Estudio del Paciente,Error con la base de datos no permite obtener los datos correctamente,Se muestra un mensaje de error,,,Carolina Herrera Martínez,IT3,
7,Consultar Estudio del Paciente,El usuario se autentica con cualquier otro rol,No se muestran los estudios del paciente,,,Carolina Herrera Martínez,IT3,
8,Consultar Estudio del Paciente,El usuario da clic en el botón de regresar,Se regresa a la vista anterior,,,Carolina Herrera Martínez,IT3,
9,Consultar Estudio del Paciente,"El usuario intenta acceder a la ruta con un rol diferente al del químico, doctor o nutrióloga",Se muestra un mensaje de error que no cuenta con autorización para acceder a la ruta,,,Carolina Herrera Martínez,IT3,
