# Test Case ID,Historia de Usuario,Casos de Prueba,Status,Fecha de Ejecución,Encargado,Iteración,Evidencia
1,Iniciar sesión en el sistema,El usuario debe de contar con una contraseña que cumpla con la politica de contraseñas del sistema.,No Aprobado,"May 24, 2022",Andrea,IT3,
2,Iniciar sesión en el sistema,Al iniciar sesión la navegación debe ser diferente para cada rol.,Aprobado,"May 24, 2022",Andrea,IT3,
3,Iniciar sesión en el sistema,Todos los usuarios deben de contar con un rol asignado.,Aprobado,"May 24, 2022",Andrea,IT3,
4,Iniciar sesión en el sistema,Se debera llenar todos los campos para inciar sesión correctamente,Aprobado,"May 24, 2022",Andrea,IT3,
5,Iniciar sesión en el sistema,Si el usuario ingresa 10 veces de manera incorrecta su contraseña se redireccionara a la vista restablecer contraseña.,No Aprobado,"May 24, 2022",Andrea,IT3,
6,Iniciar sesión en el sistema,"Si el usuario bloqueado intenta entrar a login e ingresar de nuevo, lo volvera a redireccionar a la vista de restablecer contraseña.",No Aprobado,"May 24, 2022",Andrea,IT3,
7,Iniciar sesión en el sistema,"Si el usuario cierra la pestaña en donde se encuentra el sistema, tendra que volver a iniciar sesión.",Aprobado,"May 24, 2022",Andrea,IT3,
8,Iniciar sesión en el sistema,El usuario que quiera cambiar su contraseña debe de ser diferente con la que cuenta actualmente.,No Aprobado,"May 24, 2022",Andrea,IT3,
1,Registrar información del paciente,El usuario debe estar autenticado y tener un rol de trabajador social para poder registrar al paciente,Aprobado,"May 26, 2022",Carolina,IT3,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit
2,Registrar información del paciente,"Se debe permitir registros tan solo provenientes de la aplicación, es decir no un Post cualquiera a la ruta con un json",Aprobado,"May 27, 2022",Carolina,IT3,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit
3,Registrar información del paciente,El CURP debe tener un formato válido y ser único,Aprobado,"May 26, 2022",Carolina,IT3,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit
1,Registrar estudio del paciente,El usuario debe de estar autenticado y tener un rol de químico para poder registrar un estudio del paciente,Aprobado,"May 29, 2022",Carolina,IT3,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit
2,Registrar estudio del paciente,Los datos deben tener un formato válido,No reproducible,"May 30, 2022",Carolina,IT3,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit
3,Registrar estudio del paciente,"Se debe permitir registros tan solo provenientes de la aplicación, es decir no un Post cualquiera a la ruta con un json",Aprobado,"May 29, 2022",Carolina,IT3,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit
1,Consultar los tipos de estudio,Se debe validar que el rol tenga los privilegios para acceder a la información del tipo de estudio,Aprobado,"May 27, 2022"," ",IT3,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit
2,Consultar los tipos de estudio,El usuario debe estar autenticado y tener el rol de administrador o químico para poder consultar los tipos de estudio,Aprobado,"May 27, 2022"," ",IT3,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit
3,Consultar los tipos de estudio,El usuario debe estar autenticado y tener el rol de administrador para poder editar y eliminar los tipos de estudio,,," ",IT3,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit
1,Cerrar sesión en el sistema,Un usuario no autenticado intenta ingresar a la ruta de cerrar sesión,Aprobado,"May 27, 2022",Jorge,IT3,
1,Consultar información del paciente,Se debe validar que el rol tenga los privilegios para acceder a la información del paciente,Aprobado,"May 30, 2022",Mich,IT3,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit
2,Consultar información del paciente,Se debe validar que el backend no entregue información sensible sin antes haber recibido credenciales apropiadas,Aprobado,"May 30, 2022",Mich,IT3,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit
1,Consultar los estudios del paciente,"Se debe validar que el rol tenga los privilegios para acceder a la información del paciente
",Aprobado,"May 31, 2022"," ",IT3,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit
2,Consultar los estudios del paciente,"El usuario debe de estar autenticado y tener un rol de químico para poder editar o eliminar el detalle del estudio del paciente
",No reproducible,"May 31, 2022"," ",IT3,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit
3,Consultar los estudios del paciente,El usuario debe de estar autenticado y tener un rol de doctor o nutrióloga para poder visualizar el resultado del estudio del paciente,Aprobado,"May 31, 2022"," ",IT3,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit
1,Registrar la información del coloborador,El usuario debe estar autenticado y tener el rol de administrador para poder registrar al colaborador,Aprobado,"June 3, 2022","  ",IT3,https://docs.google.com/document/d/12yhFeLs9JXIxhoKmavVEZqFiU78qxYrtR5OSNgJPs3E/edit
