Fase,Actividad,Responsable,Subpractica CMMI
Revisión,Verificar que el producto de trabajo a auditar esté registrado en la matriz de configuración,Responsable de auditoría,
Auditoría,"Crear una nueva hoja de la https://docs.google.com/spreadsheets/d/1agQ2rf79rEYCF5mpLwuUIkyQcEQugHPViDHgWGYYUEU/edit?usp=sharing, duplicando el contenido de la hoja de plantilla.",Responsable de auditoría," "
" ",Llenar el apartado de información general de la auditoría,Responsable de auditoría,
,"Revisar cada criterio de la checklist. En caso de cumplirse, marcar una palomita. En caso de que el criterio no aplique al producto de trabajo en cuestión, llenar con un N/A",Responsable de auditoría,PPQA 1.2
" Registro de no conformidades","Registrar las no conformidades (aspectos de la checklist que no están presentes en el asset) en el https://www.notion.so/f78724bec45744b3b5627fda80160521 con sus respectivos nombres, estado, fase de detección, fase de inyección, fecha de detección, ID, iteración, proyecto, responsable del defecto, severidad y tipo.",Responsable de auditoría,"PPQA 1.2, 2.1"
Mejora continua,Escribir en la sección de comentarios de la checklist las lecciones aprendidas que pueden mejorar la calidad de los assets en el futuro.,Responsable de auditoría,
,"En caso de que el auditor lo considere necesario, realizar una mejora de proceso conforme al proceso de https://www.notion.so/1a25461e941841df846d768975596bc0.",Responsable de auditoría,PPQA 1.1
Calendarización,Establecer fecha de siguiente auditoría en el checklist de la auditoría.,Responsable de auditoría,PPQA 2.1
Documentación,"Actualizar el https://www.notion.so/aef96cc564e3403aa1838a15cc89d34c  con la información de la auditoría realizada (ID, elemento auditado, equipo auditor, equipo auditado, resultados a la auditoría, no conformidades y fecha de la auditoría).",Responsable de auditoría,PPQA 2.1
,Actualizar el nivel o estado del asset en la https://www.notion.so/8ef56009a3d545a1a998b4d596eaddb2 siguiendo la guía de https://www.notion.so/81ed479aea0d45db89846463687d2a6f (Nivel de los elementos de la configuración),Responsable de auditoría,
