Reviewed,Name,Class,Type,Materials,Created
No,"Baroque Forms: Kandinsky ",ART 399,Section,https://open.spotify.com/track/4tTihOTrCBZrbnf4pQuTq7?si=EUzPiatXRvaLWq9pPVcbwQ,"October 13, 2021 11:29 PM"
Yes,Kazuo Ishiguro: Discussion,ENG 455,Study Group,,"October 13, 2021 11:29 PM"
No,Gráficas computacionales,TC2008B.1,Section,https://drive.google.com/drive/u/5/folders/1jeuZpAVgt3Gc-H-s19uXdBGfay1ZcSLL,"November 2, 2021 11:42 AM"
No,Testing,Claud,Section,"https://docs.google.com/document/d/1ygpwyHFOFSzB64jWra_-Mfd2aMhJtxcl/edit, https://drive.google.com/file/d/1dUVi9VDyTtc6vtLlbhrkK9dU4vZJGo_e/view","February 17, 2022 5:28 PM"
No,Design Thinking,Alex y Denisse,,,"February 17, 2022 7:53 PM"
No,Ética,Caro,,,"February 18, 2022 4:40 PM"
No,Estándares Internacionales,Carlos,Section,,"February 21, 2022 5:15 PM"
No,Quality Assurance,Claud,Section,,"February 23, 2022 6:24 PM"
No,WoW,Lalo,Section,,"February 24, 2022 4:43 PM"
No,CI/CD,Alex y Denisse,Section,,"March 28, 2022 7:27 PM"
No,Retro 1a Entrega de Resultados,ACE,Retroalimentación,,"March 30, 2022 6:30 PM"
No,Servidores,Alex y Denisse,Section,,"March 31, 2022 7:21 PM"
No,React,,,,"April 4, 2022 6:20 PM"
No,Retro 2a Entrega de Resultados,ACE,Retroalimentación,,"April 6, 2022 6:42 PM"
No,Retro 3a  Entrega de Resultados,ACE,Retroalimentación,,"April 20, 2022 5:02 PM"
No,Bases de Datos Avanzadas,Alex y Denisse,Section,"https://lodash.com/, https://underscorejs.org/#filter","April 25, 2022 6:20 PM"
No,CM Checklist,,,,"April 28, 2022 12:43 PM"
