Watched,Title,Genre,Run Time,Star Rating,Rewatch
No,"Avatar ",Fantasy,2h 42m,,No
No,Star Wars: A New Hope,Science Fiction,2h 1m,,No
No,Titanic,"Drama, Historical, Romance",3h 30m,,No
No,Jurassic Park,"Action, Adventure, Science Fiction",2h 7m,,No
No,The Phantom of the Opera,Musical,2h 23m,,No
No,Moulin Rouge,Romance,,,No
No,Flipped,Romance,,,No
No,Harry Potter Saga,Fantasy,,,No
Yes,Encanto,"Animation, Musical",,,No
No,Mamma Mia,"Musical, Romance",1h 48m,,No
No,"La Era del Hielo ","Animation, Comedy",,,No
No,"Tick, Tick, Boom","Drama, Musical",1h 55m,,No
No,Spider-Man: Into the Spider-Verse,"Action, Animation, Superhero",,,No
Yes,Luca,"Adventure, Animation",,,No
Yes,High School Musical,,,,No
