Title,Genre,Rewatch,Run Time,Star Rating,Watched
Star Wars: A New Hope,Science Fiction,No,2h 1m,,No
Jurassic Park,"Action, Adventure, Science Fiction",No,2h 7m,,No
Titanic,"Drama, Historical, Romance",No,3h 30m,,No
"Avatar ",Fantasy,No,2h 42m,,No
The Phantom of the Opera,Musical,No,2h 23m,,No
Flipped,Romance,No,,,No
Moulin Rouge,Romance,No,,,No
Harry Potter Saga,Fantasy,No,,,No
Encanto,"Animation, Musical",No,,,Yes
Mamma Mia,"Musical, Romance",No,1h 48m,,No
"La Era del Hielo ","Animation, Comedy",No,,,No
"Tick, Tick, Boom","Drama, Musical",No,1h 55m,,No
Spider-Man: Into the Spider-Verse,"Action, Animation, Superhero",No,,,No
Luca,"Adventure, Animation",No,,,Yes
High School Musical,,No,,,Yes
