Watched,Title,Status,Genre,Rewatch,Episode,Platform,Season
No,Brooklyn 99,,Comedy,No,,Netflix,
No,Vikings,,,No,,Netflix,
No,Gossip Girl,,Drama,No,,HBO Max,
No,Bob esponja,,"Animation, Comedy",No,,Netflix,
No,Kid vs cat,,,No,,Internet,
No,Friends,,Comedy,No,,HBO Max,
No,Modern Family,,Comedy,No,,"Internet, Star+",
No,Sex education,,Drama,No,,Netflix,
No,Wanda vision,,,No,,Verlo en Cuevana,
No,Glee,,"Drama, Musical",No,,Netflix,
No,Black,,"Drama, K Drama, Thriller",No,,Netflix,
No,Flash,,"Action, Superhero",No,,Netflix,
No,The Mentalist,,,No,,,
