Watched,Title,Status,Season,Episode,Genre,Platform,Rewatch
No,Bob esponja,,,,"Animation, Comedy",Netflix,No
No,Kid vs cat,,,,,Internet,No
No,Modern Family,,,,Comedy,"Internet, Star+",No
No,Friends,,,,Comedy,HBO Max,No
No,Gossip Girl,,,,Drama,HBO Max,No
No,Brooklyn 99,,,,Comedy,Netflix,No
No,Vikings,,,,,Netflix,No
No,Sex education,,,,Drama,Netflix,No
No,Glee,,,,"Drama, Musical",Netflix,No
No,Wanda vision,,,,,Verlo en Cuevana,No
No,Black,,,,"Drama, K Drama, Thriller",Netflix,No
No,Flash,,,,"Action, Superhero",Netflix,No
