Title,Episode,Genre,Platform,Rewatch,Season,Status,Watched
Brooklyn 99,,Comedy,Netflix,No,,,No
Kid vs cat,,,Internet,No,,,No
Bob esponja,,"Animation, Comedy",Netflix,No,,,No
Friends,,Comedy,HBO Max,No,,,No
Wanda vision,,,Verlo en Cuevana,No,,,No
Vikings,,,Netflix,No,,,No
Gossip Girl,,Drama,HBO Max,No,,,No
Glee,,"Drama, Musical",Netflix,No,,,No
Black,,"Drama, K Drama, Thriller",Netflix,No,,,No
Modern Family,,Comedy,"Internet, Star+",No,,,No
Sex education,,Drama,Netflix,No,,,No
Flash,,"Action, Superhero",Netflix,No,,,No
The Mentalist,,,,No,,,No
