Name,Date beaten,Platforms,Price,Release date,Score,Status
The Legend of Zelda,,"NES, Switch",,"February 21, 1986",,In Progress
Castlevania,,NES,,"September 26, 1986",,Retro
Ninja Gaiden,,NES,,"October 1, 1988",,Retro
Castlevania III,,NES,,"December 22, 1989",,Retro
The Legend of Zelda: A Link to the Past,,SNES,,"November 21, 1991",,Retro
Secret of Mana,,SNES,,"August 6, 1993",,Retro
Castlevania: Rondo of Blood,,PC/Mac,,"October 29, 1993",,Retro
Donkey Kong Country,,SNES,,"November 21, 1994",,Retro
Mega Man X3,,"PS, SNES",,"December 1, 1995",,Retro
Resident Evil,,PS,,"March 22, 1996",,Retro
Banjo Kazooie,,N64,,"June 29, 1998",,Retro
Silent Hill,,PS,,"January 31, 1999",,Retro
Zone of the Enders,,PS2,,"March 1, 2001",,Retro
Advance Wars,,GBA,,"September 10, 2001",,Retro
Ico,,PS2,,"September 24, 2001",,Retro
Eternal Darkness: Sanity's Requiem,,GC,,"June 23, 2002",,Retro
Super Mario Sunshine,,GC,,"July 19, 2002",,Retro
Zone of the Enders: The 2nd Runner,,PS2,,"February 13, 2003",,Retro
Ninja Gaiden,,Xbox,,"March 2, 2004",,Retro
Polarium Advance,,GBA,,"October 13, 2005",,Retro
Mother 3,,GBA,,"April 20, 2006",,Retro
Metal Gear Rising: Revengeance,"March 29, 2013","PS3, Xbox 360",,"February 19, 2013",,In Progress
Stephen's Sausage Roll,,PC/Mac,,"April 18, 2016",,Wishlist
Iconoclasts,,Switch,,"January 23, 2018",,In Progress
Mario + Rabbids: Donkey Kong Adventure,,Switch,,"June 26, 2018",,Wishlist
Lumines,,Switch,,"June 26, 2018",,Wishlist
7 Billion Humans,,iOS,,"August 23, 2018",,In Progress
The Messenger,,Switch,,"August 30, 2018",,On Hold
Marvel's Spider-Man,"September 22, 2018",PS4,199,"September 7, 2018",,Beaten
Shadow of the Tomb Raider,"November 28, 2018",Xbox One,,"September 14, 2018",,Beaten
Forza Horizon 4,"November 1, 2018",Xbox One,,"October 2, 2018",,Beaten
Super Mario Party,"November 9, 2018",Switch,,"October 5, 2018",,Beaten
Starlink: Battle for Atlas,,Switch,,"October 16, 2018",,Backlog
Return of the Obra Dinn,"December 19, 2018",PC/Mac,,"October 18, 2018",,Beaten
Exapunks,,PC/Mac,,"October 22, 2018",,Backlog
Katamari Damacy Reroll,,Switch,,"December 7, 2018",,Wishlist
Super Smash Bros. Ultimate,"December 24, 2018",Switch,,"December 7, 2018",,Beaten
Ashen,,Xbox One,,"December 7, 2018",,Archived
Dusk,,PC/Mac,,"December 10, 2018",,Wishlist
GRIS,,Switch,,"December 13, 2018",,Wishlist
Below,,Xbox One,,"December 14, 2018",,Archived
Ape Out,,Switch,,"February 7, 2019",,Wishlist
Crackdown 3,"February 21, 2019",Xbox One,,"February 15, 2019",,Beaten
Devil May Cry 5,"March 18, 2019",Xbox One,,"March 8, 2019",,Beaten
Baba is You,,Switch,,"March 13, 2019",,In Progress
Super Mario Maker 2,,Switch,,"June 30, 2019",,Wishlist
Astral Chain,,Switch,,"August 30, 2019",,Wishlist
DOOM Eternal,,Xbox One,,"December 31, 2019",,
My Friend Pedro,,Switch,,"December 31, 2019",,Wishlist
Luigi's Mansion 3,,Switch,,"December 31, 2019",,Wishlist
The Legend of Zelda: Link's Awakening,,Switch,,"December 31, 2019",,Wishlist
Bloodstained: Ritual of the Night,,"Switch, Xbox One",,"December 31, 2019",,
Zelda: Breath of the Wild,,Switch,,"November 3, 2021",,In Progress
Overcooked,,Switch,,"November 16, 2021",,Wishlist
Ghost of Tsushima,,PS4,,"December 31, 2099",,Wishlist
Metroid Prime 4,,Switch,,"December 31, 2099",,Wishlist
Death Stranding,,PS4,,"December 31, 2099",,Wishlist
Bayonetta 3,,Switch,,"December 31, 2099",,Wishlist
Into the Breach,"January 16, 2019",Switch,,,,Beaten
Metroid: Deep Freeze,"July 20, 2017",3DS,,,,Beaten
Super Mario Bros. 3,"May 25, 2017",SNES,,,,Beaten
The Room: Old Sins,"August 29, 2018",iOS,,,,Beaten
Dandara,,Switch,,,,Archived
Kirby: Planet Robobot,"January 20, 2017",3DS,,,,Beaten
Imprint-X,"January 29, 2017",PC/Mac,,,,Beaten
DOOM VFR,,PS4,,,,Archived
Celeste,"January 26, 2018",Switch,,,95,Beaten
The Walking Dead: A New Frontier,"January 28, 2018",PC/Mac,,,70,Beaten
"Pokémon: Let's Go, Pikachu!","December 2, 2018",Switch,,,,Beaten
XCOM,,"PC/Mac, PS3, Xbox 360",,,,Backlog
Wandersong,,Switch,,,,Backlog
Hitman,,Xbox One,,,,Archived
Teslagrad,"April 9, 2017",PS4,,,,Beaten
Arizona Sunshine,"July 10, 2017",PS4,,,,Beaten
Ikaruga,,Switch,,,,Backlog
Far Cry 5,"April 13, 2018",PS4,,,75,Beaten
Holedown,"August 13, 2018",iOS,12.9,,80,Beaten
The Final Station,"March 16, 2018",Switch,,,70,Beaten
Super Mario Bros. 2,"February 9, 2018","3DS, SNES, Wii U",,,75,Beaten
Doki Doki Literature Club,"November 25, 2018",PC/Mac,,,,Beaten
Steamworld Dig 2,"April 13, 2018",Switch,,,85,Beaten
Guacamelee! 2,"August 26, 2018",PC/Mac,36.99,,,Beaten
NieR:Automata,"March 31, 2017",PS4,,,,Beaten
Golf Story,,Switch,,,,Archived
God of War,"May 18, 2018",PS4,,,90,Beaten
DOOM,,Switch,,,,Archived
Just Dance 2018,"November 9, 2017",Switch,,,,Beaten
Nidhogg II,"July 28, 2018",PC/Mac,,,85,Beaten
Fire Emblem Heroes,"February 5, 2017",iOS,,,,Beaten
Super Mario 3D World,"February 12, 2018",Wii U,,,,Beaten
Unravel,"November 10, 2018",Xbox One,,,,Beaten
Fire Emblem: The Blazing Blade,"April 25, 2017",3DS,,,,Beaten
Owlboy,,PC/Mac,,,,Archived
Alan Wake,"October 5, 2017",Xbox One,,,,Beaten
Universal Paperclips,"December 12, 2017",PC/Mac,,,,Beaten
Gorogoa,"December 25, 2017",Switch,,,,Beaten
Dandara,"December 13, 2017",PC/Mac,,,,Beaten
X-Men,"February 10, 2017",Pi,,,,Beaten
Cuphead,"September 7, 2018",PC/Mac,,,,Beaten
Chasm,"August 15, 2018",PC/Mac,34.19,,70,Beaten
Yoku's Island Express,"October 12, 2018",Switch,,,,Beaten
Rez Infinite,"February 15, 2017",PS4,,,,Beaten
The Sexy Brutale,"April 20, 2017",PS4,,,,Beaten
Grim Fandango Remastered,,Switch,,,,Backlog
Gravity Rush 2,,PS4,,,,Archived
Super Mario Galaxy,"February 12, 2018",Wii U,,,95,Beaten
Bloodstained: Curse of the Moon,,Switch,,,,Backlog
Hollow Knight: Godmaster,,Switch,,,,Backlog
Sea of Thieves,,Xbox One,,,,Archived
Hollow Knight,"June 29, 2018",Switch,,,100,Beaten
Star Fox 2,"October 10, 2017",PC/Mac,,,,Beaten
New Super Mario Bros. Wii,"February 11, 2018",Wii,,,,Beaten
Mario & Luigi: Superstar Saga + Bowser's Minions,"October 16, 2017",3DS,,,,Beaten
Vanquish,"June 8, 2017",PC/Mac,,,,Beaten
Late Shift,"August 26, 2018",Xbox One,,,,Beaten
Splatoon 2: Octo Expansion,"November 14, 2018",Switch,,,,Beaten
Mr. Shifty,"April 19, 2017",Switch,,,,Beaten
What Remains of Edith Finch,"December 15, 2017",PC/Mac,,,,Beaten
The Last Guardian,"May 20, 2017",PS4,,,,Beaten
Eagle Flight,"February 2, 2017",PS4,,,,Beaten
Hyper Metroid,"July 25, 2017",3DS,,,,Beaten
"Resident Evil ","October 21, 2018",Xbox One,,,,Beaten
The End is Nigh,"December 31, 2017",Switch,,,,Beaten
Metroid Prime Pinball,"September 30, 2017",3DS,,,,Beaten
Ōkami,,PS3,,,,Archived
State of Decay 2,,Xbox One,,,,Archived
Mario + Rabbids Kingdom Battle,"March 7, 2018",Switch,,,85,Beaten
Metroid Prime Hunters,"October 13, 2017","3DS, PC/Mac",,,,Beaten
Yakuza Kiwami,,PS4,,,,Archived
Persona 5,,PS4,,,,On Hold
Super Mario Odyssey,"November 7, 2017",Switch,,,,Beaten
Metroid: Zero Mission,"February 25, 2017",Wii U,,,,Beaten
Minit,,Switch,22.16,,,Backlog
Star Wars: Battlefront II,"December 25, 2018",Xbox One,,,,Beaten
Cave Story,"April 7, 2017",3DS,,,,Beaten
Quadrilateral Cowboy,,PC/Mac,,,,Backlog
Wipeout Omega Collection,,PS4,,,,Archived
Pokémon Gelbe Edition,,"3DS, GB",,,,Archived
SUPERHOT VR,"March 9, 2018",PS4,,,90,Beaten
Donkey Kong Country: Tropical Freeze,,Switch,,,,In Progress
Bad North,,Xbox One,,,,Archived
Super Mario RPG: Legend of the Seven Stars,,SNES,,,,On Hold
Opus Magnum,,PC/Mac,,,,Backlog
Hellblade: Senua's Sacrifice,"December 22, 2017",PC/Mac,,,,Beaten
Metroid Prime Hunters,"July 9, 2017","3DS, PC/Mac",,,,Beaten
Scott Pilgrim vs. the World,"September 10, 2017",PS3,,,,Beaten
80's Overdrive,"December 8, 2017",3DS,,,,Beaten
Until Dawn,"August 10, 2017",PS4,,,,Beaten
,,,,,,
The Legend of Zelda: Breath of the Wild - The Champions' Ballad,"December 10, 2017",Switch,,,,Beaten
Valiant Hearts: The Great War,"December 20, 2017",PS4,,,,Beaten
Stardew Valley,"January 5, 2018",Switch,,,95,Beaten
ARMS,"October 1, 2017",Switch,,,,Beaten
"LEGO Marvel Super Heroes 2 ","November 21, 2017",Switch,,,,Beaten
Star Trek: Bridge Crew,"June 17, 2017",PS4,,,,Beaten
Necrosphere Deluxe,"November 18, 2017",PC/Mac,,,,Beaten
Super Mario Maker,"January 15, 2017",3DS,,,,Beaten
Halo Wars,"May 30, 2018",Xbox One,,,70,Beaten
Wolfenstein: The New Order,"November 16, 2017",Xbox One,,,,Beaten
Sonic Mania,"August 30, 2017",Switch,,,,Beaten
2017,,,,,,
AM2R,"October 14, 2017",PC/Mac,,,,Beaten
Wolfenstein II: The New Colossus,"July 25, 2018",Xbox One,,,90,Beaten
Super Mario World,"May 5, 2017",SNES,,,,Beaten
Unbox: Newbie's Adventure,"July 15, 2017",PS4,,,,Beaten
Super Mario Run,"February 12, 2018",iOS,,,,Beaten
The Beatles: Rock Band,"June 20, 2018",PS3,,,85,Beaten
Rayman Legends,"August 25, 2017",Wii U,,,,Beaten
DmC: Devil May Cry,"September 3, 2018",Xbox One,,,,Beaten
Metroid: Samus Returns,"September 15, 2017",3DS,,,,Beaten
Prey,,Xbox One,,,,Archived
Affordable Space Adventures,"June 15, 2017",Wii U,,,,Beaten
Splatoon 2,"August 15, 2017",Switch,,,,Beaten
Sonic the Hedgehog,"August 5, 2017",PS3,,,,Beaten
The Hex,"December 2, 2018",PC/Mac,,,,Beaten
The Legend of Zelda: Breath of the Wild - The Master Trials,"July 5, 2017",Switch,,,,Beaten
Brothers: A Tale of Two Sons,,PS3,,,,Backlog
Death Squared,"November 9, 2018",Switch,,,,Beaten
Axiom Verge,"March 23, 2018",Switch,,,85,Beaten
A Way Out,"May 1, 2018",PS4,,,85,Beaten
GNOG,"May 1, 2017",PS4,,,,Beaten
The Awesome Adventures of Captain Spirit,"October 28, 2018",PS4,,,,Beaten
Mega Man X4,"January 1, 2017",PS3,,,,Beaten
Donut County,"September 28, 2018",iOS,,,,Beaten
The Legend of Zelda: Breath of the Wild,"March 17, 2017",Switch,,,,Beaten
Dead Cells,,Switch,73.08,,,In Progress
Puyo Puyo Tetris,"April 23, 2017",Switch,,,,Beaten
Kirby: Star Allies,,Switch,,,,Archived
Uncharted: The Lost Legacy,"July 7, 2018",PS4,,,80,Beaten
Metroid II: Return of Samus,"October 14, 2017","GB, Pi",,,,Beaten
Psychonauts in the Rhombus of Ruin,"February 20, 2017",PS4,,,,Beaten
"Snipperclips: Cut it Out, Together!","May 9, 2017",Switch,,,,Beaten
New Super Mario Bros. U,"February 12, 2018",Wii U,,,,Beaten
Assassin's Creed Syndicate,,Xbox One,,,,Archived
La-Mulana 2,,PC/Mac,48.22,,,On Hold
Bridge Constructor Portal,"October 31, 2018",Switch,,,,Beaten
Pony Island,"January 10, 2017",PC/Mac,,,,Beaten
