Day,☼ 8:30am,☾ 12pm,Blogilates,Arms/Abs,Floss,Meditate,Skincare
"Sun, Feb 7",No,No,No,No,No,No,
"Mon, Feb 8",No,No,No,No,No,No,
"Tue, Feb 9",No,No,No,No,No,No,
"Wed, Feb 10",No,No,No,No,No,No,
"Thu, Feb 11",No,No,No,No,No,No,
"Fri, Feb 12",No,No,No,No,No,No,
"Sat, Feb 13",No,No,No,No,No,No,
"Sun, Feb 14",No,No,No,No,No,No,
"Mon, Feb 15",No,No,No,No,No,No,
"Tue, Feb 16",No,No,No,No,No,No,
"Wed, Feb 17",No,No,No,No,No,No,
"Thu, Feb 18",No,No,No,No,No,No,
"Fri, Feb 19",No,No,No,No,No,No,
"Sat, Feb 20",No,No,No,No,No,No,
"Sun, Feb 21",No,No,No,No,No,No,
"Mon, Feb 22",No,No,No,No,No,No,
"Tue, Feb 23",No,No,No,No,No,No,
"Wed, Feb 24",No,No,No,No,No,No,
"Thu, Feb 25",No,No,No,No,No,No,
"Fri, Feb 26",No,No,No,No,No,No,
"Sat, Feb 27",No,No,No,No,No,No,
"Sun, Feb 28",No,No,No,No,No,No,
